time,symbol,side,entry_price,stop_loss,take_profit,rr,model,trend,ob_time
2024-11-01 00:45:00,BTCUSDT,buy,70403.9,70090.73909999999,71030.2218,2.0,SMC_MODEL_A_BASELINE,bullish,unknown
2024-11-01 01:20:00,BTCUSDT,buy,70103.1,69957.972,70393.35600000003,2.0,SMC_MODEL_A_BASELINE,bullish,unknown
2024-11-01 01:30:00,BTCUSDT,buy,69760.4,69453.1773,70374.84539999999,2.0,SMC_MODEL_A_BASELINE,bullish,unknown
2024-11-01 01:50:00,BTCUSDT,buy,69652.2,69412.2183,70132.1634,2.0,SMC_MODEL_A_BASELINE,bullish,unknown
2024-11-01 01:55:00,BTCUSDT,buy,69424.9,69242.8878,69788.92439999999,2.0,SMC_MODEL_A_BASELINE,bullish,unknown
2024-11-01 02:00:00,BTCUSDT,buy,69141.6,69043.2876,69338.22480000003,2.0,SMC_MODEL_A_BASELINE,bullish,unknown
2024-11-01 02:05:00,BTCUSDT,buy,69026.2,68931.0,69216.59999999999,2.0,SMC_MODEL_A_BASELINE,bullish,unknown
2024-11-01 02:10:00,BTCUSDT,buy,69069.2,68801.5296,69604.5408,2.0,SMC_MODEL_A_BASELINE,bullish,unknown
2024-11-01 03:00:00,BTCUSDT,buy,69540.6,68993.3376,70635.12480000002,2.0,SMC_MODEL_A_BASELINE,bullish,unknown
2024-11-01 03:05:00,BTCUSDT,buy,69646.4,69085.9449,70767.31019999998,2.0,SMC_MODEL_A_BASELINE,bullish,unknown
2024-11-01 03:40:00,BTCUSDT,buy,69492.1,69372.45809999999,69731.38380000004,2.0,SMC_MODEL_A_BASELINE,bullish,unknown
2024-11-01 03:45:00,BTCUSDT,buy,69445.7,69324.7059,69687.68819999999,2.0,SMC_MODEL_A_BASELINE,bullish,unknown
2024-11-01 03:50:00,BTCUSDT,buy,69370.0,69287.74290000001,69534.51419999998,2.0,SMC_MODEL_A_BASELINE,bullish,unknown
2024-11-01 04:40:00,BTCUSDT,buy,69599.9,69294.5361,70210.62779999999,2.0,SMC_MODEL_A_BASELINE,bullish,unknown
2024-11-01 04:50:00,BTCUSDT,buy,69586.0,69313.1175,70131.76500000001,2.0,SMC_MODEL_A_BASELINE,bullish,unknown
